3012224157 = Verdict: Solved ; Iters: 9823558 ; Length: 141
3012244027 = Verdict: Solved ; Iters: 1848994 ; Length: 148
3012365948 = Verdict: Unsolved ; Iters: 12754803 ; Length: -1
3012423782 = Verdict: Unsolved ; Iters: 1837412 ; Length: -1
3012622420 = Verdict: Unsolved ; Iters: 2644911 ; Length: -1
3012641649 = Verdict: Unsolved ; Iters: 1273711 ; Length: -1
3012665473 = Verdict: Solved ; Iters: 103036 ; Length: 133
3012680115 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3012718959 = Verdict: Solved ; Iters: 5426489 ; Length: 132
3012724354 = Verdict: Solved ; Iters: 1967975 ; Length: 128
3012770156 = Verdict: Unsolved ; Iters: 1099164 ; Length: -1
3012820927 = Verdict: Solved ; Iters: 9586 ; Length: 138
3012835708 = Verdict: Solved ; Iters: 121513 ; Length: 116
3013013827 = Verdict: Unsolved ; Iters: 8813025 ; Length: -1
3013023029 = Verdict: Solved ; Iters: 6444062 ; Length: 131
3013026865 = Verdict: Unsolved ; Iters: 11276140 ; Length: -1
3013321945 = Verdict: Solved ; Iters: 3692297 ; Length: 129
3013372789 = Verdict: Unsolved ; Iters: 3564238 ; Length: -1
3013404291 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3013495911 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3013589899 = Verdict: Solved ; Iters: 67001 ; Length: 132
3013687026 = Verdict: Unsolved ; Iters: 1012426 ; Length: -1
3013964264 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3014063127 = Verdict: Solved ; Iters: 2567971 ; Length: 122
3014126883 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3014196026 = Verdict: Solved ; Iters: 2940781 ; Length: 127
3014288143 = Verdict: Unsolved ; Iters: 9598412 ; Length: -1
3014501373 = Verdict: Unsolved ; Iters: 62960 ; Length: -1
3014537671 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3014555758 = Verdict: Unsolved ; Iters: 135318 ; Length: -1
3014675976 = Verdict: Unsolved ; Iters: 11032275 ; Length: -1
3014739796 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3014744005 = Verdict: Solved ; Iters: 46502 ; Length: 112
3014810273 = Verdict: Unsolved ; Iters: 3584687 ; Length: -1
3014852487 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3015100670 = Verdict: Solved ; Iters: 4831482 ; Length: 124
3015131081 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3015325625 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3015590545 = Verdict: Solved ; Iters: 1826470 ; Length: 108
3015598880 = Verdict: Unsolved ; Iters: 7207291 ; Length: -1
3015730100 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3015879952 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3015927592 = Verdict: Unsolved ; Iters: 1765467 ; Length: -1
3016019280 = Verdict: Solved ; Iters: 151671 ; Length: 119
3016119432 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3016208662 = Verdict: Solved ; Iters: 600817 ; Length: 118
3016334269 = Verdict: Unsolved ; Iters: 5879805 ; Length: -1
3016482163 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3016546870 = Verdict: Solved ; Iters: 4719375 ; Length: 152
3016575283 = Verdict: Unsolved ; Iters: 8173649 ; Length: -1
3016687555 = Verdict: Unsolved ; Iters: 11269460 ; Length: -1
3016707387 = Verdict: Unsolved ; Iters: 3069590 ; Length: -1
3016761081 = Verdict: Solved ; Iters: 57998 ; Length: 122
3016833797 = Verdict: Solved ; Iters: 5313469 ; Length: 131
3016890525 = Verdict: Solved ; Iters: 2428771 ; Length: 147
3016994038 = Verdict: Solved ; Iters: 5396553 ; Length: 122
3017114078 = Verdict: Solved ; Iters: 4407764 ; Length: 123
3017114224 = Verdict: Solved ; Iters: 3269508 ; Length: 133
3017310545 = Verdict: Unsolved ; Iters: 5510781 ; Length: -1
3017404334 = Verdict: Solved ; Iters: 566587 ; Length: 118
3017546947 = Verdict: Unsolved ; Iters: 577259 ; Length: -1
3017594096 = Verdict: Unsolved ; Iters: 116813 ; Length: -1
3017742439 = Verdict: Unsolved ; Iters: 4800335 ; Length: -1
3017945684 = Verdict: Unsolved ; Iters: 1147892 ; Length: -1
3018015949 = Verdict: Solved ; Iters: 376446 ; Length: 135
3018034710 = Verdict: Unsolved ; Iters: 576821 ; Length: -1
3018166896 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3018197844 = Verdict: Solved ; Iters: 137696 ; Length: 129
3018282015 = Verdict: Solved ; Iters: 5836112 ; Length: 125
3018408466 = Verdict: Unsolved ; Iters: 5361143 ; Length: -1
3018415623 = Verdict: Unsolved ; Iters: 10106649 ; Length: -1
3018435849 = Verdict: Solved ; Iters: 14532 ; Length: 131
3018446032 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3018450383 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3018503002 = Verdict: Unsolved ; Iters: 11087832 ; Length: -1
3018658278 = Verdict: Solved ; Iters: 1946188 ; Length: 122
3018679330 = Verdict: Unsolved ; Iters: 6747589 ; Length: -1
3018719135 = Verdict: Solved ; Iters: 1118049 ; Length: 125
3018751040 = Verdict: Unsolved ; Iters: 36902 ; Length: -1
3018774576 = Verdict: Unsolved ; Iters: 2412929 ; Length: -1
3018782192 = Verdict: Solved ; Iters: 1463452 ; Length: 134
3018868728 = Verdict: Solved ; Iters: 1288614 ; Length: 133
3018883039 = Verdict: Unsolved ; Iters: 81270 ; Length: -1
3018949059 = Verdict: Unsolved ; Iters: 2824730 ; Length: -1
3019005567 = Verdict: Unsolved ; Iters: 1247078 ; Length: -1
3019026521 = Verdict: Solved ; Iters: 2149043 ; Length: 164
3019116430 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3019492360 = Verdict: Unsolved ; Iters: 4622026 ; Length: -1
3019585631 = Verdict: Solved ; Iters: 772367 ; Length: 129
3019791336 = Verdict: Solved ; Iters: 398162 ; Length: 120
